date,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Ticker
2010-03-31,59731000.0,57861000.0,4979000.0,-8367000.0,ANSS
2009-12-31,44920000.0,43028000.0,-9501000.0,8585000.0,ANSS
2009-09-30,34079000.0,32171000.0,290000.0,2248000.0,ANSS
2009-06-30,43440000.0,42217000.0,-3218000.0,-29373000.0,ANSS
2009-03-31,51250000.0,47962000.0,1698000.0,-45550000.0,ANSS
2008-12-31,61669000.0,55633000.0,-8680000.0,-27762000.0,ANSS
2008-09-30,42746000.0,39125000.0,-317383000.0,300621000.0,ANSS
2008-06-30,55147000.0,50595000.0,-13977000.0,-45350000.0,ANSS
2008-03-31,37146000.0,34716000.0,2041000.0,-9759000.0,ANSS
2007-12-31,41643000.0,39488000.0,-6569000.0,-18703000.0,ANSS
2007-09-30,26256000.0,24078000.0,-2322000.0,-15838000.0,ANSS
2007-06-30,37027000.0,32880000.0,-4154000.0,-13833000.0,ANSS
2007-03-31,22202000.0,19823000.0,-2373000.0,-7455000.0,ANSS
2006-12-31,29309000.0,25592000.0,-3782000.0,-23596000.0,ANSS
2006-09-30,22355000.0,20402000.0,-5328000.0,-17753000.0,ANSS
2006-06-30,25405000.0,24022000.0,-289806000.0,168221000.0,ANSS
2006-03-31,12628000.0,11838000.0,4285000.0,3902000.0,ANSS
2005-12-31,20748000.0,19729000.0,-9255000.0,788000.0,ANSS
2005-09-30,14159000.0,13389000.0,-791000.0,-2146000.0,ANSS
2005-06-30,17598000.0,16366000.0,68492000.0,-1828000.0,ANSS
2005-03-31,15320000.0,13859000.0,-30284000.0,1725000.0,ANSS
2004-12-31,11651000.0,11055000.0,-44968000.0,1287000.0,ANSS
2004-09-30,13413000.0,12840000.0,9291000.0,2121000.0,ANSS
2004-06-30,13090000.0,12003000.0,-16317000.0,1490000.0,ANSS
2004-03-31,13212000.0,12277000.0,-1196000.0,995000.0,ANSS
2003-12-31,10076000.0,8788000.0,-1296000.0,799000.0,ANSS
2003-09-30,7101000.0,6789000.0,9503000.0,2368000.0,ANSS
2003-06-30,10161000.0,9640000.0,-1853000.0,2970000.0,ANSS
2003-03-31,11468000.0,10828000.0,-22242000.0,1376000.0,ANSS
2022-03-26,28166000000.0,25652000000.0,-9265000000.0,-28351000000.0,AAPL
2021-12-25,46966000000.0,44163000000.0,-16106000000.0,-28159000000.0,AAPL
2021-09-25,20200000000.0,16977000000.0,835000000.0,-20382000000.0,AAPL
2021-06-26,21094000000.0,19001000000.0,3572000000.0,-29396000000.0,AAPL
2021-03-27,23981000000.0,21712000000.0,-10368000000.0,-11326000000.0,AAPL
2020-12-26,38763000000.0,35263000000.0,-8584000000.0,-32249000000.0,AAPL
2020-09-26,20576000000.0,18792000000.0,5531000000.0,-21357000000.0,AAPL
2020-06-27,16271000000.0,14706000000.0,-5165000000.0,-19116000000.0,AAPL
2020-03-28,13311000000.0,11458000000.0,9013000000.0,-20940000000.0,AAPL
2019-12-28,30516000000.0,28409000000.0,-13668000000.0,-25407000000.0,AAPL
2019-09-28,19910000000.0,17133000000.0,-798000000.0,-21039000000.0,AAPL
2019-06-29,11636000000.0,9636000000.0,27502000000.0,-26804000000.0,AAPL
2019-03-30,11155000000.0,8792000000.0,13348000000.0,-29457000000.0,AAPL
2018-12-29,26690000000.0,23335000000.0,5844000000.0,-13676000000.0,AAPL
2018-09-29,19523000000.0,16482000000.0,-3001000000.0,-22580000000.0,AAPL
2018-06-30,14488000000.0,11221000000.0,3947000000.0,-31523000000.0,AAPL
2018-03-31,15130000000.0,11089000000.0,28710000000.0,-26272000000.0,AAPL
2017-12-30,28293000000.0,25329000000.0,-13590000000.0,-7501000000.0,AAPL
