,Price,Open,High,Low
2011-02-28,76.921,77.255,77.435,76.78
2011-03-01,77.083,76.855,77.13,76.765
2011-03-02,76.689,77.08,77.21,76.54
2011-03-03,76.495,76.71,76.875,76.375
2011-03-04,76.416,76.51,76.64,76.285
2011-03-07,76.514,76.35,76.57,76.145
2011-03-08,76.8,76.52,76.995,76.425
2011-03-09,76.719,76.9,76.975,76.54
2011-03-10,77.274,76.68,77.355,76.66
2011-03-11,76.77,77.175,77.55,76.66
2011-03-14,76.462,76.55,76.725,76.27
2011-03-15,76.656,76.655,77.39,76.585
2011-03-16,76.986,76.74,77.135,76.635
2011-03-17,76.34,76.91,76.98,76.15
2011-03-18,75.971,76.29,76.765,75.79
2011-03-21,75.655,75.87,76.005,75.59
2011-03-22,75.673,75.83,75.85,75.82
2011-03-23,76.046,75.83,76.19,75.67
2011-03-24,75.888,76.11,76.305,75.7
2011-03-25,76.485,75.94,76.56,75.84
2011-03-28,76.376,76.52,76.695,76.295
2011-03-29,76.502,76.49,76.7,76.17
2011-03-30,76.357,76.38,76.67,76.245
2011-03-31,76.072,76.37,76.415,75.885
2011-04-01,76.083,76.3,76.87,76.035
2011-04-04,76.159,76.23,76.235,75.935
2011-04-05,76.111,76.25,76.4,75.995
2011-04-06,75.757,76.095,76.125,75.69
2011-04-07,75.81,75.78,76.055,75.735
2011-04-08,75.273,75.795,75.835,75.06
2011-04-11,75.282,75.165,75.305,75.1
2011-04-12,75.065,75.255,75.455,74.93
2011-04-13,75.19,75.065,75.34,74.95
2011-04-14,74.888,75.16,75.37,74.835
2011-04-15,75.028,74.88,75.22,74.825
2011-04-18,75.73,75.085,76.055,75.055
2011-04-19,75.249,75.685,75.845,75.205
2011-04-20,74.567,75.19,75.21,74.455
2011-04-21,74.18,74.195,74.535,73.935
2011-04-25,74.181,74.3,74.47,74.01
2011-04-26,74.025,74.28,74.52,73.935
2011-04-27,73.691,73.73,74.205,73.435
2011-04-28,73.311,73.5,73.5,73.05
2011-04-29,73.107,73.255,73.38,73.015
2011-05-02,73.139,73.185,73.48,72.895
2011-05-03,73.315,73.31,73.49,73.01
2011-05-04,73.213,73.26,73.48,72.86
2011-05-05,74.375,73.28,74.42,72.985
2011-05-06,75.08,74.26,75.18,74.11
2011-05-09,74.9,75.025,75.36,74.605
2011-05-10,74.782,74.775,75.175,74.685
2011-05-11,75.517,74.735,75.62,74.53
2011-05-12,75.417,75.495,75.835,75.205
2011-05-13,75.938,75.415,76.14,74.945
2011-05-16,75.651,76.08,76.19,75.41
2011-05-17,75.545,75.82,76.015,75.475
2011-05-18,75.632,75.415,75.735,75.23
2011-05-19,75.277,75.485,75.71,75.185
2011-05-20,75.579,75.195,75.92,75.085
2011-05-23,76.234,75.845,76.54,75.825
2011-05-24,76.023,76.445,76.45,75.96
2011-05-25,76.03,76.115,76.395,75.835
2011-05-26,75.632,76.095,76.095,75.415
2011-05-27,75.018,75.62,75.67,74.895
2011-05-31,74.696,74.83,74.84,74.495
2011-06-01,74.731,74.525,74.955,74.345
2011-06-02,74.375,74.865,74.955,74.26
2011-06-03,73.807,74.365,74.505,73.725
2011-06-06,73.999,73.77,74.085,73.665
2011-06-07,73.528,73.955,74.065,73.515
2011-06-08,73.939,73.585,73.995,73.56
2011-06-09,74.201,73.875,74.32,73.695
2011-06-10,74.798,74.13,74.935,74.045
2011-06-13,74.596,74.805,74.95,74.6
2011-06-14,74.692,74.875,75.005,74.59
2011-06-15,76.072,74.82,76.135,74.82
2011-06-16,76.224,75.975,76.505,75.855
2011-06-17,75.461,75.92,76.25,75.355
2011-06-20,75.5,75.615,75.95,75.365
2011-06-21,74.931,75.26,75.455,74.92
2011-06-22,75.188,75.095,75.31,74.865
2011-06-23,75.904,75.35,76.25,75.35
2011-06-24,76.21,75.705,76.28,75.475
2011-06-27,75.828,76.19,76.59,75.71
2011-06-28,75.49,75.665,75.96,75.26
2011-06-29,75.074,75.48,75.54,74.995
2011-06-30,74.635,74.915,74.915,74.54
2011-07-01,74.674,74.82,75.055,74.505
2011-07-05,74.985,74.535,75.05,74.535
2011-07-06,75.44,74.925,75.535,74.77
2011-07-07,75.257,75.265,75.745,75.15
2011-07-08,75.514,75.215,75.73,75.13
2011-07-11,76.374,75.56,76.555,75.54
2011-07-12,76.234,76.395,77.175,76.085
2011-07-13,75.547,76.395,76.455,75.37
2011-07-14,75.562,75.06,75.645,74.99
2011-07-15,75.52,75.44,75.745,75.29
2011-07-18,75.793,75.52,76.115,75.48
2011-07-19,75.513,75.63,75.82,75.18
2011-07-20,75.094,75.395,75.52,75.015
2011-07-21,74.231,74.97,75.37,74.125
2011-07-22,74.412,74.245,74.6,74.155
2011-07-25,74.254,74.18,74.51,74.175
2011-07-26,73.629,74.31,74.395,73.605
2011-07-27,74.273,73.69,74.39,73.585
2011-07-28,74.391,74.3,74.585,74.045
2011-07-29,74.036,74.33,74.685,73.86
2011-08-01,74.456,74.13,74.745,73.755
2011-08-02,74.666,74.49,74.915,74.345
2011-08-03,74.199,74.72,74.855,74.085
2011-08-04,75.36,74.08,75.55,74.02
2011-08-05,74.802,75.57,75.645,74.67
2011-08-08,74.938,74.39,75.215,74.15
2011-08-09,74.724,75.015,75.1,73.99
2011-08-10,74.769,74.13,74.925,73.905
2011-08-11,74.81,75.01,75.39,74.45
2011-08-12,74.743,74.8,75.055,74.495
2011-08-15,73.929,74.675,74.745,73.84
2011-08-16,74.093,74.0,74.265,73.845
2011-08-17,73.758,74.145,74.31,73.515
2011-08-18,74.315,73.875,74.545,73.81
2011-08-19,74.106,74.475,74.57,73.685
2011-08-22,74.168,74.14,74.25,73.875
2011-08-23,73.961,74.245,74.26,73.635
2011-08-24,74.087,73.9,74.175,73.715
2011-08-25,74.362,74.115,74.505,73.89
2011-08-26,73.869,74.285,74.55,73.765
2011-08-29,73.777,73.785,73.91,73.565
2011-08-30,73.996,73.75,74.25,73.68
2011-08-31,74.173,74.055,74.245,73.89
2011-09-01,74.557,74.235,74.865,74.2
2011-09-02,74.839,74.59,74.86,74.345
2011-09-06,76.057,75.37,76.115,74.67
2011-09-07,75.566,75.94,75.965,75.32
2011-09-08,76.352,75.58,76.405,75.57
2011-09-09,77.3,76.35,77.375,76.135
2011-09-12,77.666,77.58,77.885,77.13
2011-09-13,76.997,77.365,77.7,76.895
2011-09-14,76.875,77.145,77.555,76.72
2011-09-15,76.267,76.88,77.105,76.09
2011-09-16,76.593,76.335,76.79,76.32
2011-09-19,77.435,77.07,77.5,76.965
2011-09-20,77.528,77.83,77.96,77.325
2011-09-21,77.859,77.45,78.455,77.235
2011-09-22,79.1,78.4,79.4,78.335
2011-09-23,79.228,78.9,79.32,78.59
2011-09-26,79.063,78.995,79.645,78.69
2011-09-27,78.028,78.82,78.995,77.93
2011-09-28,78.429,78.32,78.66,77.835
