"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2021","96.074","96.235","96.415","95.950","18.92K","-0.16%"
"Dec 09, 2021","96.232","95.965","96.325","95.945","20.25K","0.38%"
"Dec 08, 2021","95.865","96.260","96.360","95.815","22.87K","-0.50%"
"Dec 07, 2021","96.345","96.260","96.565","96.150","12.52K","0.04%"
"Dec 06, 2021","96.305","96.150","96.405","96.095","13.94K","0.24%"
"Dec 03, 2021","96.074","96.100","96.400","95.900","1.88K","-0.04%"
"Dec 02, 2021","96.108","96.000","96.115","95.775","0.96K","0.15%"
"Dec 01, 2021","95.964","95.910","96.045","95.610","0.99K","0.03%"
"Nov 30, 2021","95.937","96.165","96.565","95.500","0.93K","-0.34%"
"Nov 29, 2021","96.268","96.150","96.370","96.080","0.86K","0.24%"
"Nov 26, 2021","96.034","96.650","96.685","95.945","1.13K","-0.79%"
"Nov 25, 2021","96.802","96.710","96.720","96.600","0.20K","0.00%"
"Nov 24, 2021","96.802","96.510","96.845","96.370","0.29K","0.39%"
"Nov 23, 2021","96.424","96.375","96.530","96.260","0.35K","-0.05%"
"Nov 22, 2021","96.474","96.000","96.480","95.990","1.00K","0.54%"
"Nov 19, 2021","95.958","95.530","96.145","95.525","0.20K","0.50%"
"Nov 18, 2021","95.477","95.710","95.765","95.460","0.23K","-0.30%"
"Nov 17, 2021","95.764","95.800","96.170","95.695","0.38K","-0.09%"
"Nov 16, 2021","95.851","95.390","95.900","95.360","0.15K","0.54%"
"Nov 15, 2021","95.340","95.060","95.475","94.915","0.12K","0.29%"
"Nov 12, 2021","95.063","95.185","95.200","94.945","0.14K","-0.05%"
"Nov 11, 2021","95.115","94.865","95.140","94.765","0.31K","0.36%"
"Nov 10, 2021","94.773","93.945","94.835","93.935","0.36K","0.93%"
"Nov 09, 2021","93.896","94.000","94.100","93.810","0.35K","-0.09%"
"Nov 08, 2021","93.982","94.295","94.373","93.983","-","-0.29%"
"Nov 05, 2021","94.252","94.285","94.560","94.115","0.21K","-0.03%"
"Nov 04, 2021","94.281","93.755","94.400","93.755","0.12K","0.51%"
"Nov 03, 2021","93.803","94.060","94.155","93.765","0.10K","-0.24%"
"Nov 02, 2021","94.024","93.870","94.060","93.780","0.06K","0.21%"
"Nov 01, 2021","93.824","94.060","94.195","93.815","0.28K","-0.25%"
"Oct 29, 2021","94.061","93.280","94.225","93.265","0.56K","0.85%"
"Oct 28, 2021","93.266","93.805","93.890","93.200","0.23K","-0.51%"
"Oct 27, 2021","93.743","93.830","93.915","93.650","0.16K","-0.14%"
"Oct 26, 2021","93.876","93.810","93.950","93.640","0.15K","0.13%"
"Oct 25, 2021","93.754","93.610","93.895","93.415","0.09K","0.19%"
"Oct 22, 2021","93.575","93.690","93.705","93.480","0.04K","-0.14%"
"Oct 21, 2021","93.708","93.570","93.720","93.440","0.05K","0.24%"
"Oct 20, 2021","93.485","93.735","93.800","93.495","0.07K","-0.21%"
"Oct 19, 2021","93.678","93.830","93.840","93.445","0.24K","-0.23%"
"Oct 18, 2021","93.890","93.895","94.125","93.855","0.05K","0.01%"
"Oct 15, 2021","93.883","93.865","94.015","93.865","0.03K","-0.03%"
"Oct 14, 2021","93.911","93.970","94.010","93.700","0.11K","-0.12%"
"Oct 13, 2021","94.025","94.415","94.415","93.960","0.08K","-0.46%"
"Oct 12, 2021","94.464","94.360","94.500","94.200","0.14K","0.20%"
"Oct 11, 2021","94.271","94.030","94.335","94.030","0.03K","0.27%"
"Oct 08, 2021","94.014","94.200","94.260","93.905","0.29K","-0.16%"
"Oct 07, 2021","94.161","94.185","94.210","94.050","0.08K","-0.06%"
"Oct 06, 2021","94.222","93.950","94.400","93.950","0.17K","0.33%"
"Oct 05, 2021","93.912","93.850","93.985","93.825","0.04K","0.20%"
"Oct 04, 2021","93.725","93.940","94.055","93.620","0.06K","-0.28%"
"Oct 01, 2021","93.987","94.260","94.265","93.950","0.07K","-0.20%"
"Sep 30, 2021","94.180","94.265","94.435","94.130","0.32K","-0.12%"
"Sep 29, 2021","94.293","93.720","94.345","93.620","0.44K","0.62%"
"Sep 28, 2021","93.710","93.350","93.735","93.350","0.61K","0.42%"
"Sep 27, 2021","93.321","93.175","93.400","93.135","0.03K","0.05%"
