,date,Revenue,Operating Income,Net Income,EBITDA,Ticker
67,2005-06-03,496000000.0,182204000.0,149800000.0,211228000.0,ADBE
68,2005-03-04,472900000.0,170712000.0,151900000.0,199354000.0,ADBE
69,2004-12-03,429500000.0,146379000.0,113500000.0,174001000.0,ADBE
70,2004-09-03,403700000.0,140314000.0,104500000.0,158328000.0,ADBE
71,2004-06-04,410100000.0,141839000.0,109400000.0,167641000.0,ADBE
72,2004-03-05,423300000.0,163262000.0,123000000.0,183638000.0,ADBE
73,2003-11-28,358600000.0,115263000.0,83300000.0,135175000.0,ADBE
74,2003-08-29,319100000.0,92215000.0,64500000.0,107382000.0,ADBE
75,2003-05-30,320100000.0,91461000.0,64200000.0,107665000.0,ADBE
76,2003-02-28,296895000.0,80508000.0,54225000.0,89457000.0,ADBE
77,2022-03-26,5887000000.0,951000000.0,786000000.0,1540000000.0,AMD
78,2021-12-25,4826000000.0,1207000000.0,974000000.0,1345000000.0,AMD
79,2021-09-25,4313000000.0,948000000.0,923000000.0,1124000000.0,AMD
80,2021-06-26,3850000000.0,831000000.0,710000000.0,943000000.0,AMD
81,2021-03-27,3445000000.0,662000000.0,555000000.0,760000000.0,AMD
82,2020-12-26,3244000000.0,570000000.0,1781000000.0,659000000.0,AMD
83,2020-09-26,2801000000.0,449000000.0,390000000.0,506000000.0,AMD
84,2020-06-27,1932000000.0,173000000.0,157000000.0,257000000.0,AMD
85,2020-03-28,1786000000.0,177000000.0,162000000.0,259000000.0,AMD
86,2019-12-28,2127000000.0,348000000.0,170000000.0,309000000.0,AMD
87,2019-09-28,1801000000.0,186000000.0,120000000.0,220000000.0,AMD
88,2019-06-29,1531000000.0,59000000.0,35000000.0,132000000.0,AMD
89,2019-03-30,1272000000.0,38000000.0,16000000.0,76000000.0,AMD
90,2018-12-29,1419000000.0,28000000.0,38000000.0,62000000.0,AMD
91,2018-09-29,1653000000.0,150000000.0,102000000.0,185000000.0,AMD
92,2018-06-30,1756000000.0,153000000.0,116000000.0,195000000.0,AMD
93,2018-03-31,1647000000.0,120000000.0,81000000.0,164000000.0,AMD
94,2017-12-30,1340000000.0,82000000.0,-19000000.0,1169000000.0,AMD
95,2017-09-30,1643000000.0,126000000.0,71000000.0,157000000.0,AMD
96,2017-07-01,1151000000.0,25000000.0,-42000000.0,28000000.0,AMD
97,2017-04-01,1178000000.0,-29000000.0,-33000000.0,38000000.0,AMD
98,2016-12-31,1106000000.0,-3000000.0,-51000000.0,22000000.0,AMD
