date,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Ticker
2013-06-29,3897000000.0,3538000000.0,2047000000.0,670000000.0,334000000.0,AMD
2013-03-30,3797000000.0,3382000000.0,2044000000.0,645000000.0,441000000.0,AMD
2012-12-29,4000000000.0,3462000000.0,2042000000.0,630000000.0,549000000.0,AMD
2012-09-29,4612000000.0,3623000000.0,2040000000.0,683000000.0,776000000.0,AMD
2012-06-30,5041000000.0,3924000000.0,2021000000.0,744000000.0,1015000000.0,AMD
2012-03-31,4988000000.0,3936000000.0,2019000000.0,962000000.0,1193000000.0,AMD
2011-12-31,4954000000.0,3364000000.0,2016000000.0,919000000.0,869000000.0,AMD
2011-10-01,5236000000.0,3492000000.0,2060000000.0,908000000.0,625000000.0,AMD
2011-07-02,5224000000.0,3583000000.0,2199000000.0,759000000.0,554000000.0,AMD
2011-04-02,5209000000.0,3651000000.0,2196000000.0,797000000.0,602000000.0,AMD
2010-12-25,4964000000.0,3951000000.0,2421000000.0,968000000.0,606000000.0,AMD
2010-09-25,4595000000.0,3981000000.0,2188000000.0,765000000.0,620000000.0,AMD
2010-06-26,4955000000.0,4203000000.0,2421000000.0,725000000.0,1084000000.0,AMD
2010-03-27,5232000000.0,4436000000.0,2604000000.0,675000000.0,642000000.0,AMD
2009-12-26,9078000000.0,8430000000.0,4560000000.0,745000000.0,1657000000.0,AMD
2009-09-26,8747000000.0,9316000000.0,5570000000.0,572000000.0,1847000000.0,AMD
2009-06-27,8683000000.0,9148000000.0,5532000000.0,366000000.0,1979000000.0,AMD
2009-03-28,9052000000.0,9215000000.0,5563000000.0,414000000.0,2402000000.0,AMD
2008-12-27,7672000000.0,7545000000.0,4776000000.0,320000000.0,933000000.0,AMD
2008-09-27,9441000000.0,8102000000.0,5140000000.0,620000000.0,1108000000.0,AMD
2008-06-28,9784000000.0,8310000000.0,5261000000.0,437000000.0,1310000000.0,AMD
2008-03-29,11208000000.0,8571000000.0,5287000000.0,538000000.0,1404000000.0,AMD
2007-12-29,11550000000.0,8560000000.0,5269000000.0,640000000.0,1432000000.0,AMD
2007-09-29,12934000000.0,8809000000.0,5335000000.0,682000000.0,1096000000.0,AMD
2007-06-30,13224000000.0,8460000000.0,5537000000.0,648000000.0,1304000000.0,AMD
2007-03-31,12712000000.0,7204000000.0,3841000000.0,680000000.0,991000000.0,AMD
2006-12-31,13147000000.0,7072000000.0,3797000000.0,1150000000.0,1380000000.0,AMD
2006-10-01,8379000000.0,3367000000.0,688950000.0,709000000.0,1385000000.0,AMD
2006-07-02,8062000000.0,3209000000.0,692139000.0,592000000.0,689000000.0,AMD
2006-03-26,8052000000.0,3342000000.0,658408000.0,859000000.0,829000000.0,AMD
