Ticker,Date,Revenue,Operating Income,Net Income,EBITDA,Total assets,Total liabilities,Total debt,Receivables,Cash and cash equivalents,Operating Cash Flow,Free Cash Flow,Investing Cash flow,Financing Cash Flow,Adj Close
AAPL,2015-03-31,58010000000.0,18278000000.0,13569000000.0,21206000000.0,261194000000.0,132188000000.0,43871000000.0,18164000000.0,14489000000.0,19081000000.0,16605000000.0,-22331000000.0,-1739000000.0,27.06306185487841
AAPL,2015-06-30,49605000000.0,14083000000.0,10677000000.0,17758000000.0,273151000000.0,147474000000.0,54418000000.0,19907000000.0,15319000000.0,14988000000.0,12899000000.0,-11403000000.0,-2755000000.0,28.779609165494403
AAPL,2015-09-30,51501000000.0,14623000000.0,11124000000.0,18419000000.0,290479000000.0,171124000000.0,64462000000.0,30343000000.0,21120000000.0,13475000000.0,9817000000.0,-1375000000.0,-6299000000.0,26.50088918209076
AAPL,2015-12-31,75872000000.0,24171000000.0,18361000000.0,27803000000.0,293284000000.0,165017000000.0,62963000000.0,24621000000.0,16689000000.0,27463000000.0,23457000000.0,-20450000000.0,-11444000000.0,25.93789380788803
AAPL,2016-03-31,50557000000.0,13987000000.0,10516000000.0,16940000000.0,305277000000.0,174820000000.0,79872000000.0,19824000000.0,21514000000.0,11601000000.0,9002000000.0,-13660000000.0,6884000000.0,22.731712216236552
AAPL,2016-06-30,42358000000.0,10105000000.0,7796000000.0,13404000000.0,305602000000.0,179061000000.0,84935000000.0,19042000000.0,18237000000.0,10634000000.0,7729000000.0,-4470000000.0,-9441000000.0,22.80074915289879
AAPL,2016-09-30,46852000000.0,11761000000.0,9014000000.0,15186000000.0,321686000000.0,193437000000.0,87032000000.0,29299000000.0,20484000000.0,16126000000.0,12088000000.0,-7397000000.0,-6482000000.0,24.42946594953537
AAPL,2016-12-31,78351000000.0,23359000000.0,17891000000.0,27692000000.0,331141000000.0,198751000000.0,87549000000.0,27977000000.0,16371000000.0,27056000000.0,23636000000.0,-19122000000.0,-12047000000.0,26.30005742633153
AAPL,2017-03-31,52896000000.0,14097000000.0,11029000000.0,17546000000.0,334532000000.0,200450000000.0,98522000000.0,20612000000.0,15157000000.0,12523000000.0,9508000000.0,-14202000000.0,465000000.0,30.686630525896625
AAPL,2017-06-30,45408000000.0,10768000000.0,8717000000.0,14264000000.0,345173000000.0,212748000000.0,108339000000.0,22632000000.0,18571000000.0,8363000000.0,6003000000.0,-3180000000.0,-1769000000.0,34.59276526314871
AAPL,2017-09-30,52579000000.0,13120000000.0,10714000000.0,17067000000.0,375319000000.0,241272000000.0,115680000000.0,35673000000.0,20289000000.0,15656000000.0,11656000000.0,-9942000000.0,-3996000000.0,36.445157913934615
AAPL,2017-12-31,88293000000.0,26274000000.0,20065000000.0,30509000000.0,406794000000.0,266595000000.0,122400000000.0,50899000000.0,27491000000.0,28293000000.0,25329000000.0,-13590000000.0,-7501000000.0,39.40124887133401
AAPL,2018-03-31,61137000000.0,15894000000.0,13822000000.0,19699000000.0,367502000000.0,240624000000.0,121840000000.0,22408000000.0,45059000000.0,15130000000.0,11089000000.0,28710000000.0,-26272000000.0,40.7476619657923
