Date,Open,High,Low,Close
3/17/21,"3,853.18","3,889.90","3,764.08","3,862.99"
3/16/21,"3,849.99","3,917.94","3,827.23","3,853.18"
3/15/21,"3,811.56","3,850.10","3,779.45","3,849.99"
3/12/21,"3,851.54","3,851.54","3,749.17","3,811.56"
3/11/21,"3,715.14","3,864.35","3,715.14","3,851.54"
3/10/21,"3,756.94","3,826.74","3,711.19","3,715.14"
3/9/21,"3,562.79","3,781.03","3,562.79","3,756.94"
3/8/21,"3,732.88","3,744.53","3,560.49","3,562.79"
3/5/21,"3,674.04","3,739.47","3,539.50","3,732.88"
3/4/21,"3,799.17","3,820.20","3,609.99","3,674.04"
3/3/21,"3,920.28","3,941.92","3,793.37","3,799.17"
3/2/21,"4,021.50","4,033.73","3,919.80","3,920.28"
3/1/21,"3,883.30","4,024.27","3,883.30","4,021.50"
2/26/21,"3,855.17","3,938.59","3,816.55","3,883.30"
2/25/21,"4,046.29","4,046.29","3,838.77","3,855.17"
2/24/21,"3,998.15","4,048.13","3,929.58","4,046.29"
2/23/21,"4,002.18","4,016.58","3,789.07","3,998.15"
2/22/21,"4,152.46","4,152.46","3,999.85","4,002.18"
2/19/21,"4,124.79","4,189.00","4,124.79","4,152.46"
2/18/21,"4,163.30","4,163.30","4,069.64","4,124.79"
2/17/21,"4,207.05","4,207.05","4,106.78","4,163.30"
2/16/21,"4,187.75","4,251.11","4,181.46","4,207.05"
2/12/21,"4,176.69","4,193.34","4,136.77","4,187.75"
2/11/21,"4,136.65","4,196.42","4,136.65","4,176.69"
2/10/21,"4,124.83","4,175.98","4,079.35","4,136.65"
2/9/21,"4,101.02","4,138.10","4,096.39","4,124.83"
2/8/21,"4,055.40","4,101.02","4,055.40","4,101.02"
2/5/21,"4,028.65","4,059.45","4,020.33","4,055.40"
2/4/21,"3,991.88","4,029.52","3,986.90","4,028.65"
2/3/21,"4,000.59","4,037.97","3,988.90","3,991.88"
2/2/21,"3,913.71","4,007.64","3,913.71","4,000.59"
2/1/21,"3,787.61","3,921.17","3,787.61","3,913.71"
1/29/21,"3,865.54","3,865.54","3,753.95","3,787.61"
1/28/21,"3,790.68","3,920.03","3,790.68","3,865.54"
1/27/21,"3,946.82","3,946.82","3,773.31","3,790.68"
1/26/21,"3,984.70","3,996.44","3,941.03","3,946.82"
1/25/21,"3,971.95","4,040.35","3,896.80","3,984.70"
1/22/21,"3,978.42","3,988.03","3,961.85","3,971.95"
1/21/21,"3,997.38","4,014.80","3,965.23","4,006.71"
1/20/21,"3,984.19","3,992.83","3,949.82","3,976.94"
1/19/21,"3,885.18","3,915.06","3,862.90","3,913.18"
1/15/21,"3,889.57","3,894.84","3,810.31","3,825.25"
1/14/21,"3,910.48","3,938.04","3,876.96","3,880.68"
1/13/21,"3,881.93","3,891.94","3,846.93","3,870.16"
1/12/21,"3,848.18","3,870.28","3,821.87","3,857.64"
1/11/21,"3,820.31","3,877.47","3,804.49","3,832.87"
1/8/21,"3,851.15","3,860.64","3,797.39","3,850.30"
1/7/21,"3,742.09","3,808.88","3,742.09","3,802.38"
1/6/21,"3,716.48","3,758.20","3,682.20","3,684.22"
1/5/21,"3,692.04","3,762.17","3,687.27","3,761.91"
1/4/21,"3,744.44","3,759.87","3,643.49","3,686.39"
12/31/20,"3,727.47","3,733.45","3,704.89","3,720.34"
12/30/20,"3,711.50","3,732.80","3,696.74","3,726.01"
12/29/20,"3,670.76","3,696.79","3,652.70","3,688.64"
12/28/20,"3,699.11","3,700.78","3,629.13","3,639.38"
12/24/20,"3,669.42","3,690.72","3,659.44","3,673.48"
12/23/20,"3,718.57","3,718.57","3,673.39","3,673.42"
12/22/20,"3,710.19","3,720.08","3,670.25","3,712.27"
12/21/20,"3,667.36","3,713.04","3,647.10","3,707.61"
12/18/20,"3,714.04","3,722.15","3,654.75","3,722.15"
12/17/20,"3,676.74","3,702.10","3,667.16","3,698.68"
12/16/20,"3,630.77","3,659.56","3,607.23","3,653.07"
12/15/20,"3,619.17","3,631.51","3,588.12","3,621.81"
12/14/20,"3,566.43","3,606.30","3,566.43","3,590.28"
12/11/20,"3,550.28","3,562.42","3,508.95","3,551.24"
12/10/20,"3,495.75","3,583.68","3,487.98","3,573.51"
12/9/20,"3,644.84","3,644.84","3,525.24","3,543.49"
12/8/20,"3,622.60","3,656.16","3,599.73","3,647.63"
12/7/20,"3,589.87","3,638.78","3,589.87","3,635.75"
12/4/20,"3,548.01","3,581.03","3,542.02","3,580.98"
12/3/20,"3,545.03","3,568.55","3,532.17","3,536.98"
12/2/20,"3,487.88","3,522.82","3,460.83","3,518.32"
12/1/20,"3,525.36","3,544.77","3,496.75","3,530.98"
11/30/20,"3,495.23","3,503.00","3,414.52","3,480.47"
11/27/20,"3,474.31","3,503.64","3,443.55","3,485.96"
11/25/20,"3,421.00","3,448.38","3,407.18","3,443.55"
11/24/20,"3,399.96","3,426.64","3,359.51","3,424.43"
11/23/20,"3,358.31","3,383.73","3,338.10","3,369.21"
11/20/20,"3,357.75","3,365.87","3,330.70","3,331.47"
11/19/20,"3,306.29","3,361.70","3,303.27","3,359.39"
11/18/20,"3,303.21","3,351.81","3,286.96","3,317.58"
11/17/20,"3,320.35","3,324.02","3,288.80","3,299.47"
11/16/20,"3,250.23","3,286.23","3,240.95","3,280.07"
11/13/20,"3,257.04","3,264.55","3,217.21","3,255.89"
11/12/20,"3,253.63","3,278.46","3,210.91","3,220.84"
11/11/20,"3,192.53","3,246.19","3,183.01","3,242.85"
11/10/20,"3,211.70","3,222.58","3,120.68","3,155.05"
11/9/20,"3,354.40","3,385.85","3,244.48","3,245.62"
11/6/20,"3,309.86","3,337.43","3,269.08","3,331.98"
11/5/20,"3,287.53","3,321.26","3,273.24","3,315.73"
11/4/20,"3,184.10","3,231.19","3,158.97","3,211.48"
11/3/20,"3,049.79","3,113.98","3,038.78","3,095.78"
11/2/20,"3,052.08","3,082.47","3,002.03","3,036.27"
10/30/20,"3,080.62","3,089.18","2,994.02","3,022.58"
10/29/20,"3,070.55","3,133.35","3,063.33","3,107.43"
10/28/20,"3,113.64","3,118.18","3,049.88","3,051.60"
10/27/20,"3,167.10","3,179.57","3,146.66","3,169.60"
10/26/20,"3,173.31","3,205.00","3,104.74","3,150.53"
10/23/20,"3,190.47","3,204.67","3,163.14","3,204.66"
10/22/20,"3,227.39","3,234.14","3,157.79","3,193.30"
10/21/20,"3,226.25","3,245.90","3,202.76","3,206.02"
10/20/20,"3,235.76","3,252.70","3,208.91","3,221.21"
10/19/20,"3,285.27","3,298.25","3,214.50","3,225.05"
10/16/20,"3,299.90","3,311.67","3,260.89","3,261.42"
10/15/20,"3,245.53","3,281.33","3,237.92","3,275.35"
10/14/20,"3,335.33","3,345.25","3,288.45","3,308.83"
10/13/20,"3,326.22","3,340.88","3,298.36","3,321.03"
10/12/20,"3,292.35","3,343.09","3,282.14","3,314.57"
10/9/20,"3,228.41","3,246.85","3,224.53","3,246.85"
10/8/20,"3,228.20","3,228.20","3,199.10","3,207.07"
10/7/20,"3,164.27","3,198.26","3,157.43","3,191.35"
10/6/20,"3,155.85","3,187.50","3,108.06","3,118.89"
10/5/20,"3,115.42","3,161.70","3,115.05","3,161.70"
10/2/20,"3,100.68","3,165.04","3,085.26","3,085.26"
10/1/20,"3,171.06","3,195.76","3,155.13","3,189.38"
9/30/20,"3,103.75","3,154.83","3,103.75","3,125.84"
9/29/20,"3,086.06","3,118.60","3,080.78","3,102.16"
9/28/20,"3,083.96","3,094.27","3,057.73","3,092.52"
9/25/20,"2,966.82","3,035.53","2,948.59","3,032.82"
9/24/20,"2,908.64","3,001.13","2,903.57","2,960.70"
9/23/20,"3,034.92","3,039.98","2,939.38","2,945.54"
9/22/20,"3,042.13","3,061.26","2,988.34","3,055.39"
9/21/20,"2,979.75","3,037.56","2,931.02","3,037.38"
9/18/20,"3,056.40","3,056.85","2,962.62","3,012.05"
9/17/20,"2,976.36","3,037.75","2,967.57","3,021.55"
9/16/20,"3,119.59","3,129.16","3,061.65","3,061.96"
9/15/20,"3,096.43","3,129.51","3,089.61","3,116.51"
9/14/20,"3,020.37","3,058.87","3,003.73","3,048.27"
9/11/20,"3,005.64","3,023.96","2,924.04","2,964.11"
9/10/20,"3,067.69","3,086.07","2,959.28","2,978.58"
9/9/20,"3,004.35","3,036.66","2,969.13","3,022.77"
9/8/20,"2,949.10","3,029.43","2,924.43","2,926.11"
9/4/20,"3,120.67","3,177.44","2,972.03","3,114.84"
9/3/20,"3,245.44","3,264.62","3,120.39","3,152.50"
9/2/20,"3,368.18","3,368.71","3,253.61","3,333.31"
9/1/20,"3,305.23","3,345.89","3,279.74","3,330.11"
8/31/20,"3,232.27","3,296.01","3,225.10","3,283.47"
8/28/20,"3,234.11","3,254.11","3,218.81","3,238.03"
8/27/20,"3,230.27","3,238.74","3,173.95","3,207.31"
8/26/20,"3,158.61","3,230.69","3,156.97","3,227.97"
8/25/20,"3,069.44","3,115.21","3,063.59","3,114.90"
8/24/20,"3,100.52","3,103.72","3,044.85","3,071.74"
8/21/20,"3,046.36","3,064.13","3,035.97","3,056.91"
8/20/20,"2,970.07","3,047.85","2,969.68","3,041.15"
8/19/20,"3,008.24","3,026.82","2,991.10","2,996.77"
8/18/20,"3,002.91","3,015.83","2,981.08","3,008.17"
8/17/20,"2,933.16","2,980.62","2,931.85","2,976.43"
8/14/20,"2,920.59","2,931.29","2,896.32","2,907.68"
8/13/20,"2,926.50","2,941.48","2,901.59","2,913.49"
8/12/20,"2,857.97","2,928.08","2,852.17","2,915.56"
8/11/20,"2,864.53","2,881.09","2,815.67","2,820.08"
8/10/20,"2,897.13","2,905.04","2,832.92","2,877.52"
8/7/20,"2,936.52","2,940.38","2,860.15","2,897.44"
8/6/20,"2,934.25","2,955.37","2,908.57","2,950.90"
8/5/20,"2,929.84","2,942.54","2,917.86","2,934.58"
8/4/20,"2,903.51","2,927.99","2,897.97","2,927.98"
8/3/20,"2,869.62","2,902.23","2,866.47","2,897.76"
7/31/20,"2,867.46","2,867.46","2,803.16","2,844.17"
7/30/20,"2,804.23","2,843.40","2,785.36","2,837.90"
7/29/20,"2,817.32","2,845.13","2,808.83","2,831.57"
7/28/20,"2,806.06","2,817.52","2,769.83","2,771.60"
7/27/20,"2,769.66","2,821.55","2,762.68","2,819.75"
7/24/20,"2,708.45","2,765.88","2,690.88","2,742.87"
7/23/20,"2,848.94","2,853.77","2,747.37","2,767.73"
7/22/20,"2,832.02","2,850.01","2,808.98","2,835.26"
7/21/20,"2,886.99","2,889.20","2,814.02","2,822.17"
7/20/20,"2,774.86","2,871.00","2,758.78","2,866.06"
7/17/20,"2,766.14","2,773.71","2,740.05","2,763.65"
7/16/20,"2,746.71","2,774.89","2,726.02","2,761.53"
7/15/20,"2,803.64","2,805.18","2,741.65","2,790.37"
7/14/20,"2,754.49","2,792.56","2,691.28","2,789.63"
7/13/20,"2,895.91","2,929.64","2,762.16","2,766.85"
7/10/20,"2,824.86","2,857.26","2,791.26","2,855.32"
